line_id,trans_flag,name,station_id,spell,lon,lat
1,0,科学城,1,ke xue cheng,104.072328,30.391243
1,0,兴隆湖,2,xing long hu,104.076412,30.405196
1,0,广州路,3,guang zhou lu,104.077269,30.419021
1,0,西博城,4,xi bo cheng,104.077289,30.425059
1,0,天府公园,5,tian fu gong yuan,104.077748,30.432976
1,0,武汉路,6,wu han lu,104.07291,30.441619
1,0,麓湖,7,lu hu,104.073293,30.454527
1,0,红石公园,8,hong shi gong yuan,104.073007,30.464257
1,0,广福,9,guang fu,104.069325,30.478693
1,0,海昌路,10,hai chang lu,104.070832,30.492415
1,0,华阳,11,hua yang,104.070521,30.503167
1,1,四河,12,si he,104.070125,30.516133
1,0,华府大道,13,hua fu da dao,104.069836,30.525746
1,0,天府五街,14,tian fu wu jie,104.06951,30.537107
1,0,天府三街,15,tian fu san jie,104.069204,30.546203
1,0,世纪城,16,shi ji cheng,104.06893,30.55487
1,0,锦城广场,17,jin cheng guang chang,104.066528,30.567722
1,0,孵化园,18,fu hua yuan,104.064313,30.575873
1,0,金融城,19,jin rong cheng,104.064147,30.582579
1,0,高新,20,gao xin,104.063847,30.594368
1,1,火车南站,21,huo che nan zhan,104.067393,30.605459
1,0,桐梓林,22,tong zi lin,104.067115,30.61531
1,0,倪家桥,23,ni jia qiao,104.066885,30.624773
1,1,省体育馆,24,sheng ti yu guan,104.066606,30.633361
1,0,华西坝,25,hua xi ba,104.066279,30.642821
1,0,锦江宾馆,26,jin jiang bin guan,104.066053,30.650046
1,1,天府广场,27,tian fu guang chang,104.065751,30.657453
1,1,骡马市,28,luo ma shi,104.065617,30.666514
1,0,文殊院,29,wen shu yuan,104.068036,30.672535
1,0,人民北路,30,ren min bei lu,104.073056,30.684833
1,1,火车北站,31,huo che bei zhan,104.074056,30.695517
1,0,升仙湖,32,sheng xian hu,104.083474,30.704625
1,0,韦家碾,33,wei jia nian,104.08686,30.717644
2,0,犀浦,1,xi pu,103.971433,30.758172
2,0,天河路,2,tian he lu,103.976163,30.745883
2,0,百草路,3,bai cao lu,103.979327,30.733062
2,0,金周路,4,jin zhou lu,103.996175,30.721638
2,0,金科北路,5,jin ke bei lu,104.006635,30.720762
2,0,迎宾大道,6,ying bin da dao,104.013528,30.713168
2,0,茶店子客运站,7,cha dian zi ke yun zhan,104.013692,30.705986
2,0,羊犀立交,8,yang xi li jiao,104.012655,30.693913
2,1,一品天下,9,yi pin tian xia,104.01963,30.688942
2,0,蜀汉路东,10,shu han lu dong,104.029048,30.682868
2,0,白果林,11,bai guo lin,104.033278,30.673851
2,1,中医大省医院,12,zhong yi da sheng yi yuan,104.040973,30.665911
2,0,通惠门,13,tong hui men,104.048523,30.662088
2,0,人民公园,14,ren min gong yuan,104.056779,30.659324
2,1,天府广场,15,tian fu guang chang,104.065751,30.657453
2,1,春熙路,16,chun xi lu,104.080019,30.653389
2,0,东门大桥,17,dong men da qiao,104.087308,30.648192
2,0,牛王庙,18,niu wang miao,104.094483,30.644976
2,0,牛市口,19,niu shi kou,104.107662,30.637912
2,0,东大路,20,dong da lu,104.112758,30.633295
